股票代码,买入日期,买入价,卖出日期,卖出价,股数,买入手续费,卖出手续费,净利润,收益率,卖出原因
601939,2023-05-25,6.27,2023-06-02,6.34,0.16,0.0100,0.0100,-0.0090,-0.90%,bearish_signal_70
601727,2023-06-06,4.63,2023-06-14,4.50,0.21,0.0099,0.0095,-0.0470,-4.74%,bearish_signal_70
601577,2023-06-16,8.20,2023-06-19,7.86,0.11,0.0094,0.0090,-0.0572,-6.05%,bearish_signal_100
603660,2023-06-26,7.13,2023-06-27,6.81,0.12,0.0089,0.0084,-0.0567,-6.39%,bearish_signal_70
002409,2023-06-30,68.00,2023-07-27,68.11,0.01,0.0083,0.0082,-0.0152,-1.83%,bearish_signal_100
002515,2023-07-31,4.72,2023-09-15,4.95,0.17,0.0082,0.0085,0.0227,2.79%,bearish_signal_70
002899,2023-09-20,15.43,2023-09-26,15.07,0.05,0.0084,0.0081,-0.0358,-4.28%,bearish_signal_70
603178,2023-09-28,10.88,2024-01-05,40.63,0.07,0.0080,0.0296,2.1331,266.01%,bearish_signal_70
601077,2024-01-09,4.18,2024-01-22,4.08,0.70,0.0294,0.0284,-0.1272,-4.33%,bearish_signal_70
601077,2024-01-26,4.25,2024-08-09,4.99,0.65,0.0281,0.0326,0.4233,15.08%,bearish_signal_70
601298,2024-08-19,9.36,2024-09-03,8.89,0.34,0.0323,0.0304,-0.2233,-6.91%,bearish_signal_70
002489,2024-09-06,2.76,2024-12-31,3.24,1.08,0.0301,0.0350,0.4528,15.06%,bearish_signal_70
603130,2025-01-03,22.00,2025-01-06,20.46,0.16,0.0346,0.0319,-0.3063,-8.85%,bearish_signal_70
603199,2025-01-13,33.29,2025-01-14,33.49,0.09,0.0315,0.0314,-0.0442,-1.40%,bearish_signal_70
601728,2025-01-16,6.88,2025-04-23,7.76,0.45,0.0311,0.0347,0.3280,10.55%,bearish_signal_75
600645,2025-04-28,21.50,2025-04-30,20.98,0.16,0.0344,0.0332,-0.1499,-4.36%,bearish_signal_70
601988,2025-05-07,5.52,2025-06-06,5.45,0.59,0.0329,0.0321,-0.1063,-3.23%,bearish_signal_100
000042,2025-06-10,6.92,2025-09-01,8.95,0.46,0.0318,0.0407,0.8515,26.76%,broken_trendline
603325,2025-09-03,92.60,2025-09-04,89.33,0.04,0.0403,0.0385,-0.2199,-5.45%,bearish_signal_80
002492,2025-09-08,7.28,2025-09-12,7.59,0.52,0.0381,0.0394,0.0833,2.18%,broken_trendline
002112,2025-09-16,13.64,2025-09-22,13.19,0.28,0.0390,0.0373,-0.2035,-5.22%,bearish_signal_75
003019,2025-09-24,38.91,2025-09-29,36.21,0.09,0.0369,0.0340,-0.3247,-8.79%,bearish_signal_70
603583,2025-10-09,42.62,2025-10-13,40.01,0.08,0.0337,0.0313,-0.2692,-7.99%,bearish_signal_70
603187,2025-10-15,14.90,2025-10-22,14.48,0.21,0.0310,0.0298,-0.1473,-4.75%,bearish_signal_70
000752,2025-10-24,10.91,2025-12-15,11.39,0.27,0.0295,0.0305,0.0685,2.32%,bearish_signal_70
