股票代码,买入日期,买入价,卖出日期,卖出价,股数,买入手续费,卖出手续费,净利润,收益率,卖出原因
002716,2023-04-25,3.25,2023-04-26,3.15,0.30,0.0100,0.0096,-0.0501,-5.01%,bearish_signal_70
601919,2023-04-28,10.98,2023-05-05,10.82,0.09,0.0095,0.0093,-0.0325,-3.42%,bearish_signal_70
002846,2023-05-10,8.45,2023-08-01,11.93,0.11,0.0092,0.0128,0.3521,38.37%,bearish_signal_70
002597,2023-08-03,23.54,2023-08-15,22.63,0.05,0.0127,0.0121,-0.0734,-5.78%,bearish_signal_70
002544,2023-08-17,22.94,2023-08-21,21.65,0.05,0.0120,0.0112,-0.0897,-7.50%,bearish_signal_90
600900,2023-08-23,22.03,2024-04-03,24.44,0.05,0.0111,0.0122,0.0966,8.73%,bearish_signal_70
002597,2024-04-09,19.21,2024-05-24,22.54,0.06,0.0120,0.0140,0.1805,15.00%,bearish_signal_70
603587,2024-05-28,12.86,2024-06-03,12.59,0.11,0.0138,0.0134,-0.0560,-4.05%,bearish_signal_70
002876,2024-06-05,24.69,2024-06-06,23.03,0.05,0.0133,0.0123,-0.1139,-8.58%,bearish_signal_100
601766,2024-06-12,6.90,2024-06-14,6.91,0.17,0.0121,0.0120,-0.0224,-1.85%,bearish_signal_75
600546,2024-06-18,15.45,2024-06-24,14.96,0.08,0.0119,0.0114,-0.0607,-5.10%,bearish_signal_70
002785,2024-06-26,24.37,2024-08-21,25.38,0.05,0.0113,0.0117,0.0234,2.07%,bearish_signal_100
002797,2024-08-23,5.07,2024-12-31,8.35,0.23,0.0115,0.0188,0.7087,61.42%,bearish_signal_70
601000,2025-01-03,4.54,2025-01-09,4.29,0.41,0.0186,0.0174,-0.1376,-7.39%,bearish_signal_70
603612,2025-01-16,13.96,2025-03-21,16.49,0.12,0.0172,0.0202,0.2721,15.77%,bearish_signal_70
002316,2025-03-25,3.50,2025-04-07,3.42,0.56,0.0200,0.0193,-0.0845,-4.23%,bearish_signal_70
002550,2025-04-09,5.63,2025-07-09,8.89,0.34,0.0191,0.0299,1.0474,54.76%,broken_trendline
000488,2025-07-11,1.93,2025-09-16,2.21,1.52,0.0296,0.0336,0.3620,12.23%,bearish_signal_70
002187,2025-09-18,6.83,2025-09-22,6.59,0.48,0.0332,0.0317,-0.1805,-5.43%,bearish_signal_70
600120,2025-09-24,6.16,2025-10-13,6.21,0.50,0.0314,0.0314,-0.0375,-1.19%,broken_trendline
001379,2025-10-15,20.90,2025-11-20,21.62,0.15,0.0310,0.0318,0.0430,1.39%,bearish_signal_100
600229,2025-11-24,6.90,2025-12-11,6.49,0.45,0.0315,0.0293,-0.2459,-7.81%,bearish_signal_100
