factor,mean_ic,mean_ric,std_ric,icir,valid_days
macd,-0.07200909748827265,-0.11528352912739807,0.15015327499855252,-0.7677723255021205,446
ma_ratio_50,0.06303302934098426,0.11375628610508476,0.15170339515930534,0.7498598563705715,446
macd_signal,-0.07123485557008381,-0.11343542451556284,0.15079309541993907,-0.7522587436756305,446
return_60d,-0.06983788403837372,-0.10766426124092099,0.1465096765874093,-0.7348610941522848,446
oc_ratio_mean,-0.05961189265416767,-0.10674164134035788,0.13569497946228729,-0.7866292604438162,446
roc_30,-0.05703163747580477,-0.10540143403269835,0.15352709511691337,-0.6865331096926797,446
cmo_21_sub_rsi_12,-0.05947834732906799,-0.10449845689743907,0.13489594845069022,-0.7746597143770954,446
rank_dynamic_pb,-0.05763888405979934,-0.1042168005737778,0.14783338074686167,-0.7049612208505907,446
trix_30,-0.06381261946477423,-0.0958212989146733,0.1650013305775803,-0.5807304618650942,446
momentum_20d,-0.05249032980304445,-0.09487147806597071,0.15030502551252806,-0.6311929873433479,446
return_20d,-0.05327605530127745,-0.0940294287170667,0.15100408840649907,-0.6226945886653209,446
plus_di,-0.0432809435386717,-0.09288406145884222,0.1215499524567021,-0.764163700450059,446
cr_52,-0.046474588762176555,-0.0922300563308415,0.14241239118776913,-0.6476266254755684,446
amount_per_volume,-0.05231828135598026,-0.09203003422124918,0.14978088652574695,-0.6144310956887644,446
bias_18_sub_roc_30,0.05118848204211306,0.09054942240999385,0.14912573973135865,0.6072018323135454,446
rsi_21,-0.045889873624023095,-0.0902153258938268,0.13420877656529015,-0.6722013880361891,446
cmo_21,-0.04587901135491919,-0.0901907531068891,0.1342097045065079,-0.6720136478842758,446
cmo_21_sub_rsi_21,-0.04582988243775217,-0.0900636894857351,0.13421706572126532,-0.6710300884745495,446
ar_26,-0.03053047517325767,-0.08955944999638304,0.1097934305636795,-0.8157086406407451,446
price_percentile_60d,-0.047886368582323674,-0.08665293260113943,0.1363541510580355,-0.6354990436943715,446
market_cap,-0.05142741950694817,-0.08622549001215793,0.18636622347458778,-0.4626669382712223,446
atr_14_mul_cci_20,-0.04810593893737873,-0.08424996949499197,0.14792915588378663,-0.56952917084972,446
bias_18_sub_cmo_21,0.03920998705380566,0.08209253758121202,0.1297081907919425,0.6329017240930602,446
ma_slope_14,-0.05221332333544727,-0.08161350166375923,0.14031583765525127,-0.5816414100329812,446
bias_18,-0.04512124300854965,-0.08145655263116097,0.14921020139034497,-0.545918120022267,446
drawdown,-0.07464631359400249,-0.08128680575480801,0.151075525247294,-0.5380540999063247,446
bb_position,-0.0375106072951671,-0.0797244323389302,0.1364354043467771,-0.5843383007558293,446
roc_30_sub_rsi_21,-0.04839535852816149,-0.07834499661658728,0.14152857648632405,-0.5535630934870441,446
adx_20_mul_mfi_15,-0.04247389393418903,-0.0781382428661023,0.12299003273105694,-0.6353217503158787,446
adx_20,-0.04780167102475363,-0.07647119166167092,0.13303349142269416,-0.5748266157932747,446
minus_di,0.038721844120351005,0.07600189113154643,0.12102996489391614,0.6279592925451377,446
momentum_10d,-0.04049641841090487,-0.07501983425119949,0.1428925303748616,-0.5250087884537691,446
rsi_12,-0.03522955625052506,-0.07422198969304042,0.1335830566601619,-0.5556242801200658,446
sharpe_ratio,-0.03665107553085525,-0.07413836334220324,0.1381947333380604,-0.5364774876104825,446
mtm_10,-0.04652827375386388,-0.07390032669095933,0.13450711802455179,-0.5494157318683328,446
adx_20_mul_cci_20,-0.03971098460508899,-0.07380145857269188,0.13300266986096348,-0.5548870458754057,446
days_above_ma20,-0.04341643205160739,-0.07327548906637926,0.13392495387923264,-0.5471384304709616,446
return_10d,-0.040129567385874754,-0.07321143711904213,0.14336708271434243,-0.5106572285139904,446
aroon_up,0.05233725337750471,0.07143764554648903,0.11668695266256496,0.6122162239772619,446
hl_range_std,-0.019885145896115817,-0.07113650459749545,0.17422880723401618,-0.408293586616524,446
aroon_down,-0.037491887420401764,-0.06966353136341409,0.12767424043002504,-0.5456349779624878,446
adx_20_mul_atr_14,-0.019718465705165434,-0.06826772794457987,0.19136114663318562,-0.3567481129042366,446
max_drawdown_20,-0.06463044199114867,-0.06567979931757169,0.1556146792168507,-0.4220668618674861,446
atr_14_mul_mfi_15,-0.009586911078863567,-0.06546454627529548,0.17726638091710722,-0.3693004050548525,446
cci_20,-0.03326260435506078,-0.06459800949988091,0.12848124922318407,-0.5027816112502772,446
vrsi_21,-0.03555317462300434,-0.06362385579905,0.11141365761258919,-0.5710597530177559,446
is_limit_up,-0.047820816919457616,-0.06240047769687734,0.09854787175597013,-0.6331996478969832,417
oc_ratio_std,-0.012163268430926544,-0.06175129576736038,0.1954448876263766,-0.3159524739547428,446
cci_20_mul_mfi_15,-0.031628066416645916,-0.06167885099382438,0.12718844413573832,-0.4849406831960248,446
br_26,-0.018922038839030365,-0.0613808774754359,0.1214976202582841,-0.5052023022751406,446
vroc_18,-0.03387521616404542,-0.05976428286364974,0.11413492402919374,-0.5236283580331912,446
amount_change_rate,-0.03368275734743793,-0.05956777201062503,0.11996200436619897,-0.4965553245408186,446
high_position,-0.03015388175117672,-0.05874973462585007,0.12496340489029538,-0.47013551429257316,446
kdj_d,-0.03280203679076806,-0.05795541865062085,0.13819485592710862,-0.41937464503881133,446
low_position,-0.030875424601630484,-0.057661076100878984,0.13153186803912742,-0.4383810323725218,446
hl_range_mean,-0.0014267825299816375,-0.057614346756399856,0.2109127068957883,-0.2731667883095684,446
willr_20,-0.030832119848367107,-0.0575534450815739,0.1315908011712547,-0.4373667807271177,446
roc_30_sub_rsi_12,-0.039092017412452634,-0.05713659546454165,0.12831863646793198,-0.4452712173170622,446
kdj_k,-0.03128759880733203,-0.0560854520162595,0.13614461120780805,-0.4119549904964798,446
momentum_5d,-0.028302468554389865,-0.055529996414948,0.14537625465911952,-0.3819743227334862,446
price_volatility_20,-0.004705339090537953,-0.05452117637424507,0.19830690888821684,-0.2749333176534862,446
